threshold,dataset,n_cells,n_int,n_unint,accuracy,f1_int,f1_unint,f1_weighted,precision_int,recall_int,auc
-2.855561115220507,,1184,283,901,0.2458,0.3863,0.0219,0.109,0.2398,0.9929,0.4224
-1.8684613442482203,,1184,283,901,0.2475,0.3774,0.0491,0.1276,0.2352,0.9541,0.4224
-1.4423582802336659,,1184,283,901,0.2576,0.3753,0.0853,0.1546,0.2349,0.9329,0.4224
-1.1381459126567337,,1184,283,901,0.2669,0.3728,0.1179,0.1788,0.2343,0.9117,0.4224
-0.9483919001107343,,1184,283,901,0.277,0.3706,0.1508,0.2033,0.234,0.8905,0.4224
-0.7299291951354626,,1184,283,901,0.2889,0.3698,0.1841,0.2285,0.2346,0.8728,0.4224
-0.6319282534028193,,1184,283,901,0.2981,0.3671,0.2123,0.2493,0.234,0.8516,0.4224
-0.4806311540462715,,1184,283,901,0.3083,0.3646,0.241,0.2705,0.2336,0.8304,0.4224
-0.43158249183377917,,1184,283,901,0.3252,0.3684,0.2756,0.2978,0.2373,0.8233,0.4224
-0.3535206005205279,,1184,283,901,0.3361,0.3671,0.302,0.3175,0.2377,0.8057,0.4224
-0.2854904512009907,,1184,283,901,0.3395,0.358,0.32,0.3291,0.2332,0.7703,0.4224
-0.23504909199976592,,1184,283,901,0.3446,0.3501,0.339,0.3417,0.2294,0.7385,0.4224
-0.18629364253560743,,1184,283,901,0.3623,0.3553,0.3693,0.3659,0.2342,0.735,0.4224
-0.12619897214597908,,1184,283,901,0.3708,0.3505,0.3898,0.3804,0.2326,0.7102,0.4224
-0.07041656127981076,,1184,283,901,0.3894,0.3562,0.4193,0.4042,0.2381,0.7067,0.4224
-0.013085152771365202,,1184,283,901,0.402,0.3564,0.4416,0.4213,0.2399,0.6926,0.4224
0.0,,1184,283,901,0.4215,0.3616,0.471,0.4449,0.2456,0.6855,0.4224
0.0446624976410273,,1184,283,901,0.4341,0.3631,0.4909,0.4603,0.2484,0.6749,0.4224
0.09437402650704244,,1184,283,901,0.4502,0.3673,0.5138,0.4788,0.2534,0.6678,0.4224
0.13599653502005646,,1184,283,901,0.4552,0.3582,0.5268,0.4865,0.2493,0.636,0.4224
0.1787826420970369,,1184,283,901,0.4535,0.3405,0.5335,0.4874,0.2393,0.5901,0.4224
0.23112699389210567,,1184,283,901,0.4662,0.3403,0.5518,0.5012,0.2415,0.576,0.4224
0.32284511100717456,,1184,283,901,0.4814,0.3426,0.5718,0.517,0.2458,0.5654,0.4224
0.3776729575960599,,1184,283,901,0.4882,0.3341,0.5844,0.5245,0.2424,0.5371,0.4224
0.46578163377454734,,1184,283,901,0.5025,0.336,0.6023,0.5386,0.2467,0.5265,0.4224
0.5607450322354648,,1184,283,901,0.5042,0.3198,0.61,0.5406,0.2379,0.4876,0.4224
0.6797931858179402,,1184,283,901,0.5084,0.3071,0.6191,0.5445,0.2316,0.4558,0.4224
0.7368147978379722,,1184,283,901,0.5101,0.2892,0.6263,0.5457,0.2214,0.417,0.4224
0.9086120493627052,,1184,283,901,0.5068,0.2626,0.6294,0.5418,0.2043,0.3675,0.4224
1.2373063827548758,,1184,283,901,0.511,0.2471,0.6379,0.5445,0.1955,0.3357,0.4224
1.451359655271417,,1184,283,901,0.5211,0.2389,0.6506,0.5522,0.1926,0.3145,0.4224
1.7260831985804541,,1184,283,901,0.5211,0.2136,0.6557,0.5501,0.1758,0.2721,0.4224
2.2217521316262974,,1184,283,901,0.522,0.1891,0.6611,0.5483,0.159,0.2332,0.4224
2.584247288928188,,1184,283,901,0.5203,0.1573,0.6647,0.5434,0.1355,0.1873,0.4224
3.1307305563498855,,1184,283,901,0.5169,0.12,0.6671,0.5363,0.1063,0.1378,0.4224
3.5530323814663425,,1184,283,901,0.5144,0.0829,0.6697,0.5295,0.0756,0.0919,0.4224
3.830891524555802,,1184,283,901,0.5093,0.0365,0.6708,0.5192,0.0344,0.0389,0.4224
6.410174881966167,,1184,283,901,0.5118,0.0,0.6771,0.5153,0.0,0.0,0.4224
7.363490936430168,,1184,283,901,0.5439,0.0,0.7046,0.5362,0.0,0.0,0.4224
7.768956044538329,,1184,283,901,0.5507,0.0,0.7102,0.5405,0.0,0.0,0.4224
7.768956044538331,,1184,283,901,0.6149,0.0,0.7615,0.5795,0.0,0.0,0.4224
7.768956044538331,,1184,283,901,0.6149,0.0,0.7615,0.5795,0.0,0.0,0.4224
7.768956044538331,,1184,283,901,0.6149,0.0,0.7615,0.5795,0.0,0.0,0.4224
7.768956044538333,,1184,283,901,0.6427,0.0,0.7825,0.5955,0.0,0.0,0.4224
7.768956044538335,,1184,283,901,0.6571,0.0,0.7931,0.6035,0.0,0.0,0.4224
8.462103225098275,,1184,283,901,0.6833,0.0,0.8118,0.6178,0.0,0.0,0.4224
8.462103225098277,,1184,283,901,0.7204,0.0,0.8375,0.6373,0.0,0.0,0.4224
8.462103225098277,,1184,283,901,0.7204,0.0,0.8375,0.6373,0.0,0.0,0.4224
8.462103225098279,,1184,283,901,0.7584,0.0,0.8626,0.6564,0.0,0.0,0.4224
8.462103225098279,,1184,283,901,0.7584,0.0,0.8626,0.6564,0.0,0.0,0.4224
