feature,n_used,TP_1,FP_1,FN_1,TP_-1,FP_-1,FN_-1,precision_1,recall_1,f1_1,precision_-1,recall_-1,f1_-1,f1_macro
education,5955,2035,169,314,3437,314,169,0.9233212341197822,0.8663260962111536,0.8939160992752032,0.9162889896027726,0.9531336661120355,0.934348239771646,0.9141321695234246
race,1058,373,57,70,558,70,57,0.8674418604651163,0.8419864559819413,0.854524627720504,0.8885350318471338,0.9073170731707317,0.8978278358809332,0.8761762318007186
capital-gain,3928,2357,739,216,616,216,739,0.7613049095607235,0.916051301982122,0.831539954136532,0.7403846153846154,0.45461254612546126,0.563328760859625,0.6974343574980786
sex,1274,1038,87,88,61,88,87,0.9226666666666666,0.9218472468916519,0.9222567747667704,0.40939597315436244,0.41216216216216217,0.4107744107744108,0.6665155927705906
relationship,703,45,21,99,538,99,21,0.6818181818181818,0.3125,0.42857142857142855,0.8445839874411303,0.962432915921288,0.8996655518394648,0.6641184902054467
age,556,23,70,7,456,7,70,0.24731182795698925,0.7666666666666667,0.37398373983739835,0.9848812095032398,0.8669201520912547,0.9221435793731041,0.6480636596052513
native-country,2367,233,22,593,1519,593,22,0.9137254901960784,0.2820823244552058,0.43108233117483813,0.7192234848484849,0.9857235561323816,0.8316452231042979,0.631363777139568
education-num,4916,2211,1727,212,766,212,1727,0.5614525139664804,0.9125051588939331,0.6951737148247131,0.7832310838445807,0.30726032892097876,0.4413713627196773,0.5682725387721952
hours-per-week,2553,478,1009,121,945,121,1009,0.3214525891055817,0.7979966611018364,0.4582933844678811,0.8864915572232646,0.4836233367451382,0.6258278145695364,0.5420605995187088
marital-status,59,0,8,0,51,0,8,0.0,0.0,0.0,1.0,0.864406779661017,0.9272727272727272,0.4636363636363636
workclass,1423,265,206,568,384,568,206,0.5626326963906582,0.31812725090036015,0.40644171779141103,0.40336134453781514,0.6508474576271186,0.4980544747081712,0.4522480962497911
occupation,2100,1088,101,808,103,808,101,0.9150546677880572,0.5738396624472574,0.7053484602917341,0.11306256860592755,0.5049019607843137,0.18475336322869956,0.4450509117602168
fnlwgt,33,0,7,0,26,0,7,0.0,0.0,0.0,1.0,0.7878787878787878,0.8813559322033898,0.4406779661016949
capital-loss,1331,35,576,14,706,14,576,0.057283142389525366,0.7142857142857143,0.10606060606060606,0.9805555555555555,0.5507020280811232,0.7052947052947053,0.4056776556776557
