column,n_changed,true_positives,false_negatives,accuracy,recall
friends_count,273,211,62,0.7728937728937729,0.7728937728937729
favourites_count,1,0,1,0.0,0.0
listed_count,121,43,78,0.35537190082644626,0.35537190082644626
has_created_date,8,0,8,0.0,0.0
description_length,712,107,605,0.1502808988764045,0.1502808988764045
screen_name_length,4,0,4,0.0,0.0
name_length,804,246,558,0.30597014925373134,0.30597014925373134
has_description,1,1,0,1.0,1.0
has_location,7,2,5,0.2857142857142857,0.2857142857142857
