dataset,config,n_features,accuracy,f1_weighted,f1_intentional,f1_unintentional,f1_macro,n_clusters,n_noise,n_labeled,n_test
Adult-LLM,Full (H1-H8),13,0.8667,0.8643,0.8126,0.8966,0.8546,118,794,97,9605
Adult-LLM,-Surface (H1-H3),9,0.7554,0.7485,0.6438,0.8138,0.7288,151,901,97,9605
Adult-LLM,-Context (H4-H5),10,0.8286,0.8268,0.7653,0.865,0.8152,24,12,97,9605
Adult-LLM,-Domain (H6-H8),7,0.865,0.8663,0.8351,0.8857,0.8604,94,754,97,9605
Adult-LLM,Surface only,4,0.8594,0.8583,0.8101,0.8884,0.8493,4,0,97,9605
Adult-LLM,Context only,3,0.7541,0.7451,0.633,0.8151,0.724,189,752,97,9605
Adult-LLM,Domain only,6,0.7261,0.7276,0.655,0.7729,0.7139,19,7,97,9605
Adult-Mixed,Full (H1-H8),13,0.9603,0.9603,0.9394,0.9705,0.9549,183,959,117,11544
Adult-Mixed,-Surface (H1-H3),9,0.9425,0.9429,0.9155,0.9564,0.9359,235,1028,117,11544
Adult-Mixed,-Context (H4-H5),10,0.9646,0.9647,0.9469,0.9734,0.9601,29,13,117,11544
Adult-Mixed,-Domain (H6-H8),7,0.9205,0.9202,0.8775,0.9411,0.9093,136,916,117,11544
Adult-Mixed,Surface only,4,0.924,0.9246,0.8879,0.9425,0.9152,5,0,117,11544
Adult-Mixed,Context only,3,0.7689,0.7654,0.63,0.832,0.731,206,883,117,11544
Adult-Mixed,Domain only,6,0.8501,0.8543,0.8073,0.8773,0.8423,20,4,117,11544
TwitterBot,Full (H1-H8),13,0.795,0.7984,0.6958,0.8455,0.7706,22,94,11,1088
TwitterBot,-Surface (H1-H3),9,0.7546,0.7625,0.6716,0.8041,0.7378,34,76,11,1088
TwitterBot,-Context (H4-H5),10,0.8024,0.8076,0.7233,0.8463,0.7848,22,96,11,1088
TwitterBot,-Domain (H6-H8),7,0.8015,0.8031,0.6941,0.8531,0.7736,16,84,11,1088
TwitterBot,Surface only,4,0.7978,0.7996,0.6893,0.8501,0.7697,18,104,11,1088
TwitterBot,Context only,3,0.7335,0.7431,0.6682,0.7773,0.7227,20,75,11,1088
TwitterBot,Domain only,6,0.7454,0.7524,0.6453,0.8014,0.7234,5,0,11,1088
