algorithm,n_clusters,silhouette,runtime,params,n_variants,n_train_samples,n_test_samples,total_variants,total_samples,pct_train_variants,pct_train_samples,pct_test_samples,accuracy,f1_weighted,f1_intentional,f1_unintentional,sampling_strategy,n_noise,bic,aic,converged,probabilities
K-Means (Normal),15,0.5292976429578073,2.5858078002929688,{'n_clusters': 15},127,199,28057,18207,28256,0.6975339155269951,0.7042751981879954,99.295724801812,0.8510532131018997,0.8510159325906296,0.8410361748259728,0.8598826487845767,Normal,,,,,
K-Means (Smart),15,0.5292976429578073,2.5858078002929688,{'n_clusters': 15},127,200,28056,18207,28256,0.6975339155269951,0.7078142695356738,99.29218573046433,0.856928999144568,0.8570523455385443,0.8527620864206588,0.8608665511265164,Smart,,,,,
DBSCAN (Normal),266,0.8422586198042528,2.8357274532318115,"{'eps': np.float64(0.05335550320744951), 'min_samples': 5}",266,514,27742,18207,28256,1.4609765474817378,1.8190826727066818,98.18091732729332,0.8641770600533487,0.863928083261216,0.8670148937672055,0.8612154696132597,Normal,1743.0,,,,
DBSCAN (Smart),266,0.8422586198042528,2.8357274532318115,"{'eps': np.float64(0.05335550320744951), 'min_samples': 5}",266,514,27742,18207,28256,1.4609765474817378,1.8190826727066818,98.18091732729332,0.8829932953644294,0.883096599211553,0.8806442123841741,0.8852516968325792,Smart,1743.0,,,,
Hierarchical-Ward (Normal),15,0.5239465570575249,7.081771373748779,"{'n_clusters': 15, 'linkage': 'ward'}",127,202,28054,18207,28256,0.6975339155269951,0.7148924122310306,99.28510758776898,0.8792329079632138,0.879148556686495,0.8702611625947767,0.887044075481763,Normal,,,,,
Hierarchical-Ward (Smart),15,0.5239465570575249,7.081771373748779,"{'n_clusters': 15, 'linkage': 'ward'}",127,202,28054,18207,28256,0.6975339155269951,0.7148924122310306,99.28510758776898,0.8557781421544165,0.8556904191079729,0.8452654122686247,0.8649532710280374,Smart,,,,,
Hierarchical-Average (Normal),15,0.45467986536099425,7.902792930603027,"{'n_clusters': 15, 'linkage': 'average'}",127,204,28052,18207,28256,0.6975339155269951,0.7219705549263873,99.27802944507361,0.8459289890203907,0.84575848478186,0.8336412625096228,0.8565263577214182,Normal,,,,,
Hierarchical-Average (Smart),15,0.45467986536099425,7.902792930603027,"{'n_clusters': 15, 'linkage': 'average'}",127,177,28079,18207,28256,0.6975339155269951,0.6264156285390714,99.37358437146094,0.8447238149506748,0.8427298446847499,0.8185299259135936,0.8643097223951202,Smart,,,,,
GMM (Normal),15,0.4491775861823036,7.718966007232666,{'n_components': 15},127,196,28060,18207,28256,0.6975339155269951,0.6936579841449604,99.30634201585504,0.8503207412687099,0.8500801506657962,0.8374487189410945,0.8613037447988904,Normal,,-2432071.275548232,-2447994.9712724052,True,"[[3.95469151e-006 0.00000000e+000 0.00000000e+000 ... 0.00000000e+000
  0.00000000e+000 1.80450532e-010]
 [0.00000000e+000 0.00000000e+000 0.00000000e+000 ... 3.02045740e-011
  0.00000000e+000 0.00000000e+000]
 [0.00000000e+000 0.00000000e+000 0.00000000e+000 ... 0.00000000e+000
  0.00000000e+000 4.78993740e-312]
 ...
 [0.00000000e+000 0.00000000e+000 0.00000000e+000 ... 0.00000000e+000
  0.00000000e+000 0.00000000e+000]
 [0.00000000e+000 0.00000000e+000 9.76113762e-272 ... 0.00000000e+000
  1.00000000e+000 0.00000000e+000]
 [0.00000000e+000 0.00000000e+000 0.00000000e+000 ... 9.12361332e-012
  0.00000000e+000 0.00000000e+000]]"
GMM (Smart),15,0.4491775861823036,7.718966007232666,{'n_components': 15},127,197,28059,18207,28256,0.6975339155269951,0.6971970554926387,99.30280294450736,0.852239923019352,0.8520567984712634,0.8546283309957924,0.8497717225885933,Smart,,-2432071.275548232,-2447994.9712724052,True,"[[3.95469151e-006 0.00000000e+000 0.00000000e+000 ... 0.00000000e+000
  0.00000000e+000 1.80450532e-010]
 [0.00000000e+000 0.00000000e+000 0.00000000e+000 ... 3.02045740e-011
  0.00000000e+000 0.00000000e+000]
 [0.00000000e+000 0.00000000e+000 0.00000000e+000 ... 0.00000000e+000
  0.00000000e+000 4.78993740e-312]
 ...
 [0.00000000e+000 0.00000000e+000 0.00000000e+000 ... 0.00000000e+000
  0.00000000e+000 0.00000000e+000]
 [0.00000000e+000 0.00000000e+000 9.76113762e-272 ... 0.00000000e+000
  1.00000000e+000 0.00000000e+000]
 [0.00000000e+000 0.00000000e+000 0.00000000e+000 ... 9.12361332e-012
  0.00000000e+000 0.00000000e+000]]"
HDBSCAN (Normal),600,0.9305069974325383,3.4852206707000732,"{'min_cluster_size': 5, 'min_samples': 5}",600,1060,27196,18207,28256,3.2954358213873784,3.751415628539071,96.24858437146094,0.9227459920576555,0.9227759531701364,0.918194914924269,0.9268173743425406,Normal,1167.0,,,,
HDBSCAN (Smart),600,0.9305069974325383,3.4852206707000732,"{'min_cluster_size': 5, 'min_samples': 5}",600,1060,27196,18207,28256,3.2954358213873784,3.751415628539071,96.24858437146094,0.9191425209589645,0.9192087331255335,0.9154198238393785,0.9225513330750537,Smart,1167.0,,,,
