feature,importance
h7_gain_direction,0.17817033186979278
h1_plausible,0.11023635704646279
stat_relative_change,0.1050732104056008
h3_distribution_score,0.0875145719932581
stat_new_value_encoded,0.08477893983052166
stat_change_direction,0.059885135087567605
h6_column_importance,0.058211419307868016
h2_is_obfuscation,0.04793889022164732
h5_error_count,0.03868919364606322
stat_original_log,0.027429504513496527
stat_original_value_encoded,0.02417868131142865
h5_codependent_flag,0.023862589851474107
stat_change_magnitude,0.02353466607394545
stat_feature_name_encoded,0.022365620175524573
h2_min_edit_distance,0.02119432370297766
stat_original_magnitude,0.021021475212932527
h4_coherence_score,0.018841487547894588
stat_new_log,0.017961213315037743
stat_new_magnitude,0.014736626511847317
h7_comprehensibility,0.006124852255719062
h8_is_sensitive,0.0038905097801959533
h8_is_majority_value,0.002197666035912914
h7_mutability,0.0021627343028306576
