rank,feature,importance
1,h7_gain_direction,0.21310406294955764
2,h1_plausible,0.16533670510317566
3,h3_distribution_score,0.13643474873145445
4,h5_error_count,0.13289162402330298
5,h6_column_importance,0.12831912171946522
6,h2_is_obfuscation,0.08910642634767774
7,h4_coherence_score,0.05757256921555604
8,h2_min_edit_distance,0.025241484921706466
9,h7_comprehensibility,0.020537086940582813
10,h5_codependent_flag,0.01929672394518089
11,h8_is_sensitive,0.005574840038061878
12,h7_mutability,0.005365863579397208
13,h8_is_majority_value,0.0012187424848811176
