feature,intentional_mean,unintentional_mean,delta
h1_plausible,0.7581295350712174,0.14245109513459286,0.6156784399366245
h2_min_edit_distance,1.4700980392156864,1.3425067304816034,0.12759130873408298
h2_is_obfuscation,0.24754901960784315,0.0017947950942267424,0.2457542245136164
h3_distribution_score,0.6741926280463332,0.1389618836647629,0.5352307443815703
h4_coherence_score,0.4239183472385181,0.0839757346135134,0.3399426126250047
h5_error_count,2.5087342112335396,2.3900685504096306,0.11866566082390895
h5_codependent_flag,0.19054017737167428,0.01320849356294934,0.17733168380872494
h6_column_importance,0.5105528804725638,0.4614336214687441,0.04911925900381964
h7_mutability,0.847218489653319,0.9250125397090787,-0.07779405005575968
h7_gain_direction,0.6998780694188729,0.5600813501505197,0.13979671926835313
h7_comprehensibility,0.5124428916957807,0.5291255642869085,-0.016682672591127767
h8_is_sensitive,0.29400698736898684,0.2218692526333389,0.07213773473564794
h8_is_majority_value,0.08707336737436173,0.0,0.08707336737436173
