method,accuracy,precision,recall,f1_intentional,f1_weighted,auc,runtime,n_labeled,n_test,pct_labeled,algorithm,n_clusters,noise_count,silhouette,dataset,eps,min_samples,linkage,n_components,bic,aic,converged,min_cluster_size
RandomForest,0.9184,0.8882,0.8502,0.8688,0.9179,0.9001,0.04,70,1029,6.37,kmeans,15.0,0,0.4031,twitter,,,,,,,,
ClusterMajorityVote,0.8299,0.9176,0.5107,0.6562,0.8137,0.7447,0.04,70,1029,6.37,kmeans,15.0,0,0.4031,twitter,,,,,,,,
KNN_k7,0.9135,0.8993,0.8196,0.8576,0.9124,0.8884,0.04,70,1029,6.37,kmeans,15.0,0,0.4031,twitter,,,,,,,,
LabelPropagation,0.9223,0.9303,0.8165,0.8697,0.9208,0.894,0.04,70,1029,6.37,kmeans,15.0,0,0.4031,twitter,,,,,,,,
LabelSpreading,0.8707,0.9145,0.6544,0.7629,0.864,0.813,0.04,70,1029,6.37,kmeans,15.0,0,0.4031,twitter,,,,,,,,
RandomForest,0.9181,0.8827,0.8576,0.87,0.9178,0.9021,0.02,110,989,10.01,dbscan,22.0,79,0.4843,twitter,1.7873,5.0,,,,,,
ClusterMajorityVote,0.9181,0.9468,0.788,0.8601,0.9159,0.8836,0.02,110,989,10.01,dbscan,22.0,79,0.4843,twitter,1.7873,5.0,,,,,,
KNN_k7,0.9373,0.9379,0.8608,0.8977,0.9366,0.917,0.02,110,989,10.01,dbscan,22.0,79,0.4843,twitter,1.7873,5.0,,,,,,
LabelPropagation,0.9282,0.9329,0.8354,0.8815,0.9271,0.9036,0.02,110,989,10.01,dbscan,22.0,79,0.4843,twitter,1.7873,5.0,,,,,,
LabelSpreading,0.8827,0.8788,0.7342,0.8,0.8796,0.8433,0.02,110,989,10.01,dbscan,22.0,79,0.4843,twitter,1.7873,5.0,,,,,,
RandomForest,0.9495,0.9859,0.8532,0.9148,0.9484,0.9238,0.03,70,1029,6.37,hierarchical_ward,15.0,0,0.404,twitter,,,ward,,,,,
ClusterMajorityVote,0.8882,0.8759,0.7554,0.8112,0.8858,0.8527,0.03,70,1029,6.37,hierarchical_ward,15.0,0,0.404,twitter,,,ward,,,,,
KNN_k7,0.9261,0.9061,0.8563,0.8805,0.9256,0.9075,0.03,70,1029,6.37,hierarchical_ward,15.0,0,0.404,twitter,,,ward,,,,,
LabelPropagation,0.9145,0.9377,0.7829,0.8533,0.9122,0.8793,0.03,70,1029,6.37,hierarchical_ward,15.0,0,0.404,twitter,,,ward,,,,,
LabelSpreading,0.8912,0.9119,0.7278,0.8095,0.8875,0.8475,0.03,70,1029,6.37,hierarchical_ward,15.0,0,0.404,twitter,,,ward,,,,,
RandomForest,0.7934,0.6195,0.8825,0.728,0.8004,0.8176,0.02,39,1060,3.55,hierarchical_average,15.0,0,0.2609,twitter,,,average,,,,,
ClusterMajorityVote,0.4349,0.3566,1.0,0.5257,0.3714,0.5886,0.02,39,1060,3.55,hierarchical_average,15.0,0,0.2609,twitter,,,average,,,,,
KNN_k7,0.5755,0.4244,0.997,0.5953,0.5666,0.6901,0.02,39,1060,3.55,hierarchical_average,15.0,0,0.2609,twitter,,,average,,,,,
LabelPropagation,0.8189,0.8646,0.5,0.6336,0.8026,0.7321,0.02,39,1060,3.55,hierarchical_average,15.0,0,0.2609,twitter,,,average,,,,,
LabelSpreading,0.7953,0.8616,0.4127,0.558,0.7701,0.6912,0.02,39,1060,3.55,hierarchical_average,15.0,0,0.2609,twitter,,,average,,,,,
RandomForest,0.9166,0.9331,0.7982,0.8604,0.9147,0.8855,0.25,68,1031,6.19,gmm,,0,0.3855,twitter,,,,15.0,-156689.08,-179193.78,True,
ClusterMajorityVote,0.8943,0.8968,0.759,0.8222,0.8917,0.8588,0.25,68,1031,6.19,gmm,,0,0.3855,twitter,,,,15.0,-156689.08,-179193.78,True,
KNN_k7,0.935,0.9402,0.8524,0.8942,0.9341,0.9133,0.25,68,1031,6.19,gmm,,0,0.3855,twitter,,,,15.0,-156689.08,-179193.78,True,
LabelPropagation,0.9146,0.9266,0.7982,0.8576,0.9128,0.8841,0.25,68,1031,6.19,gmm,,0,0.3855,twitter,,,,15.0,-156689.08,-179193.78,True,
LabelSpreading,0.8729,0.9136,0.6687,0.7722,0.8669,0.8193,0.25,68,1031,6.19,gmm,,0,0.3855,twitter,,,,15.0,-156689.08,-179193.78,True,
RandomForest,0.8669,0.729,0.9157,0.8117,0.8703,0.8801,0.08,40,1059,3.64,hdbscan,8.0,159,0.342,twitter,,5.0,,,,,,50.0
ClusterMajorityVote,0.864,0.9845,0.5753,0.7262,0.8521,0.7856,0.08,40,1059,3.64,hdbscan,8.0,159,0.342,twitter,,5.0,,,,,,50.0
KNN_k7,0.9037,0.7875,0.9488,0.8607,0.9058,0.9159,0.08,40,1059,3.64,hdbscan,8.0,159,0.342,twitter,,5.0,,,,,,50.0
LabelPropagation,0.8848,0.907,0.7048,0.7932,0.8804,0.8359,0.08,40,1059,3.64,hdbscan,8.0,159,0.342,twitter,,5.0,,,,,,50.0
LabelSpreading,0.881,0.9153,0.6837,0.7828,0.8757,0.8274,0.08,40,1059,3.64,hdbscan,8.0,159,0.342,twitter,,5.0,,,,,,50.0
